ENST00000436007.2,8.248,0.137,TECR
ENST00000333775.5,13.687,0.859,LSMD1
ENST00000593678.1,9.229,0.079,GTF2F1
ENST00000294740.3,0.178,2.454,ZNF281
ENST00000469176.1,20.955,0.680,NDUFS6
ENST00000361681.2,367093.767,1262.411,MT-ND6
ENST00000246024.2,9.764,0.668,TMX4
ENST00000529898.1,30.942,0.612,CTR9
ENST00000497142.1,19.885,0.197,HYPK
ENST00000333677.6,0.178,3.257,ARHGEF37
ENST00000507035.1,8.649,0.213,CTC-276P9.1
ENST00000361789.2,362654.864,1346.499,MT-CYB
ENST00000368222.3,18.770,115.258,CRABP2
ENST00000222553.3,3.611,47.187,NAMPT
ENST00000390597.2,53.724,0.072,IGHV2-5
ENST00000595125.1,12.796,0.049,ATF5
ENST00000376228.5,11.592,51.689,HLA-C
ENST00000381913.4,0.357,3.385,TRPV3
ENST00000304414.7,3.032,15.609,ARL6IP1
ENST00000274031.3,0.446,2.914,SETD7
ENST00000390551.2,224.928,7.155,IGHG3
ENST00000393164.2,5.172,0.289,ATP2B1
ENST00000533673.1,20.108,0.251,CHST1
ENST00000330722.6,355.248,1228.136,KRT6A
ENST00000296411.6,0.803,4.966,METAP1
ENST00000216373.5,0.178,2.059,SOS2
ENST00000476918.1,30.139,2.155,HES1
ENST00000324501.5,0.312,2.339,PSEN1
ENST00000589960.1,94.340,0.229,UBL5
ENST00000357866.4,732.208,0.327,ARL6IP4
ENST00000371554.1,7.668,0.130,HSP90AB1
ENST00000243326.5,0.134,1.368,RIF1
ENST00000425611.2,0.803,8.333,NABP1
ENST00000371095.3,43.158,0.476,GNAS
ENST00000540900.3,13.108,0.612,NSRP1
ENST00000373115.4,0.134,1.009,CHST3
ENST00000297477.5,0.713,2.508,TMEM184A
ENST00000452185.1,3.611,12.522,POLD2
ENST00000446041.2,0.580,3.874,SLC25A36
ENST00000367090.3,0.312,1.877,TMEM181
ENST00000256720.2,0.223,1.613,LPIN1
ENST00000595379.1,128.358,0.164,PAF1
ENST00000376016.3,1.204,5.527,YME1L1
ENST00000456923.1,0.223,7.361,FN1
ENST00000533540.1,10.700,66.106,HSPA8
ENST00000418146.1,189.037,0.090,EIF2B4
ENST00000552760.1,16.006,0.830,PWP1
ENST00000303319.5,8.694,30.295,MMADHC
ENST00000482822.2,83.596,0.933,RSRC1
ENST00000602230.1,107.002,0.249,BRD4
ENST00000557457.1,0.580,36.641,AHNAK2
ENST00000316967.6,9.140,0.067,AC103965.1
ENST00000375820.4,1.427,10.219,COL4A1
ENST00000242209.4,0.758,5.518,FKBP9
ENST00000216044.5,0.178,1.684,GTPBP1
ENST00000390539.2,54.304,0.215,IGHA2
ENST00000418574.3,18.012,0.027,RP11-69C13.1
ENST00000381125.4,0.892,10.401,PFKP
ENST00000465705.1,15.426,0.072,TMCO1
ENST00000416618.1,198.578,1.949,THOC2
ENST00000383925.1,827.083,24.726,RNU1-1
ENST00000196061.4,1.204,6.673,PLOD1
ENST00000296255.3,6.866,24.204,RPN1
ENST00000476241.1,205.043,0.426,HNRNPU
ENST00000323853.5,0.268,3.115,SNRNP200
ENST00000366687.1,0.178,1.732,CCSAP
ENST00000303052.7,0.089,0.859,CSNK1G1
ENST00000390312.2,241.424,2.452,IGLV2-14
ENST00000439958.3,0.580,3.098,CPSF7
ENST00000534792.1,48.820,3.192,BCLAF1
ENST00000427358.2,0.580,4.661,FAHD1
ENST00000361371.5,0.223,1.247,LTN1
ENST00000476522.1,1970.983,10.501,PRRC2C
ENST00000378743.3,41.285,0.682,ZFC3H1
ENST00000483564.1,0.312,4.670,GABRE
ENST00000409051.2,2.898,0.065,IMMT
ENST00000411591.1,7.802,0.238,PCYT1A
ENST00000509443.1,22.604,0.247,NDUFS4
ENST00000555181.1,0.803,4.562,GSKIP
ENST00000456586.1,1836.873,212.808,RPL37A
ENST00000460450.1,0.401,2.478,TTL
ENST00000374866.3,0.357,6.543,COL5A2
ENST00000601655.1,213.871,7.832,RPS16
ENST00000335508.6,0.847,7.720,SF3B1
ENST00000222374.2,0.847,5.426,CADM4
ENST00000515524.1,115.295,1.252,NSA2
ENST00000336180.2,0.758,5.388,LIMK1
ENST00000372731.4,1.293,4.504,SPTAN1
ENST00000570778.1,1.070,12.168,METRNL
ENST00000526608.1,12.261,49.589,RPS3
ENST00000368300.4,9.407,26.263,LMNA
ENST00000319170.5,0.089,1.148,RAPH1
ENST00000538155.1,41.419,3.019,ASUN
ENST00000565777.1,13.999,0.576,MAZ
ENST00000005260.8,2.898,9.476,BAIAP2L1
ENST00000334047.7,0.803,7.377,F3
ENST00000356766.6,1.159,0.009,PIWIL2
ENST00000311111.6,587.710,16.815,RPL38
