	R1506023208.filt.isoforms	R1506023214.filt.isoforms
ENST00000562465.1,0.289,3.518,CDAN1
ENST00000264449.10,2.331,0.365,ATP8A1
ENST00000552771.1,0.336,3.025,KIAA0430
ENST00000511376.1,4.494,0.204,FIP1L1
ENST00000541489.1,0.364,5.234,DDX51
ENST00000428878.2,0.578,0.032,HIPK2
ENST00000521331.1,0.214,7.401,PRKDC
ENST00000369059.1,15.300,1.426,FGFR2
ENST00000342988.3,1.827,0.204,SMAD4
ENST00000461911.1,11.226,0.493,AAMP
ENST00000361278.3,0.559,6.392,TBRG4
ENST00000546020.2,0.196,2.649,PFAS
ENST00000491687.1,0.429,6.435,PIGO
ENST00000510168.1,1.762,0.032,ATP2C1
ENST00000486652.1,0.019,18.619,WDR26
ENST00000467722.2,14.461,0.644,SPECC1
ENST00000403299.1,3.841,0.343,CARD10
ENST00000398042.2,0.578,7.476,TANGO2
ENST00000553182.1,11.384,1.244,DDX23
ENST00000429625.1,0.009,2.231,MAD1L1
ENST00000556691.1,0.709,9.610,NEMF
ENST00000443805.1,0.131,5.695,ABCB6
ENST00000495279.2,2.695,0.343,MBOAT7
ENST00000330722.6,1.454,93.827,KRT6A
ENST00000451422.1,0.914,0.075,ANKRD28
ENST00000469141.2,9.240,0.729,THRAP3
ENST00000472434.1,0.252,4.172,ADAM15
ENST00000357546.2,0.103,2.542,DHRS9
ENST00000594523.1,1.026,12.699,CALM3
ENST00000368474.4,49.322,5.792,ADAR
ENST00000603195.1,0.121,3.829,ZSWIM8
ENST00000491735.1,5.286,0.343,IDI1
ENST00000394938.4,0.420,18.920,RPL23A
ENST00000293349.6,3.123,0.365,PLEKHH3
ENST00000469097.1,0.420,6.843,HM13
ENST00000563081.1,7.608,0.922,UBL7
ENST00000406175.3,1.165,11.369,EML4
ENST00000454658.2,5.147,0.676,FAM60A
ENST00000258796.7,27.700,4.923,TTYH3
ENST00000544441.1,0.019,1.523,SLC35A1
ENST00000540339.1,2.312,0.118,RP11-1212A22.1
ENST00000498907.2,5.594,0.493,CEBPA
ENST00000416404.2,6.937,0.290,PHF6
ENST00000591337.1,2.984,0.279,MUM1
ENST00000452389.2,7.822,0.622,GORASP1
ENST00000506588.1,7.627,0.772,WFS1
ENST00000521922.1,0.867,0.107,UBR5
ENST00000508244.1,0.065,1.233,C5orf42
ENST00000341065.4,7.077,0.558,SAMD11
ENST00000437111.1,1.492,0.139,RP11-50E11.2
ENST00000392316.1,5.641,0.011,MYO1B
ENST00000468463.1,2.713,0.182,IP6K1
ENST00000487179.1,1.100,0.064,CTAGE8
ENST00000309950.3,10.694,1.105,DAPL1
ENST00000353267.3,0.224,3.647,CREB1
ENST00000487831.2,0.186,6.628,MDN1
ENST00000399794.2,0.177,1.598,RBMXL1
ENST00000252713.4,2.760,0.365,ZNF655
ENST00000472750.1,0.858,0.054,PEX19
ENST00000408971.2,0.084,3.153,TIAF1
ENST00000453292.1,4.112,0.182,GNAS
ENST00000453848.2,6.293,0.322,TMEM132A
ENST00000569240.1,14.852,1.266,CNOT1
ENST00000408954.3,1.585,0.011,DAPK1
ENST00000465923.1,0.252,4.376,NDUFS2
ENST00000409534.1,0.746,6.918,IPO11
ENST00000479499.1,10.750,1.233,LAMC1
ENST00000358913.5,0.056,1.094,MYPN
ENST00000465952.1,2.433,0.139,USPL1
ENST00000530567.1,0.140,4.140,CAPN1
ENST00000469159.1,0.755,8.945,NCSTN
ENST00000573968.1,0.876,7.154,FOPNL
ENST00000476936.1,13.995,1.662,CAPZA1
ENST00000361704.2,0.131,3.818,BRE
ENST00000419553.1,5.147,0.343,DLG1
ENST00000591760.1,7.039,0.279,PTPRS
ENST00000368545.3,0.186,2.156,TPM3
ENST00000425562.2,3.114,0.279,LRCH3
ENST00000541748.1,0.410,7.004,ELP2
ENST00000522117.1,0.653,0.021,SPIDR
ENST00000356338.6,1.734,0.268,MYO5A
ENST00000556356.1,0.485,4.451,LRP1
ENST00000551220.1,4.606,0.526,B4GALNT1
ENST00000492691.1,0.690,14.007,PRRC2A
ENST00000541342.1,0.653,0.021,SPIDR
ENST00000290863.6,0.186,4.687,ACE
ENST00000379904.4,2.461,0.182,ERAP2
ENST00000512512.1,1.044,14.276,IGFBP7
ENST00000425676.1,0.811,9.964,FANCG
ENST00000528879.1,5.426,0.847,CPSF3L
ENST00000579758.1,0.121,12.324,FASN
ENST00000457855.1,0.690,6.071,BRPF1
ENST00000454925.1,0.634,5.835,ZNF185
ENST00000317020.6,13.491,0.676,KIAA0895
ENST00000552844.1,1.744,0.075,ARHGAP29
ENST00000523036.1,0.298,7.894,DERL1
ENST00000355852.2,9.007,0.590,PCBP4
