	A.R1506023208	B.R1506023209	B.R1506023210	B.R1506023211	B.R1506023212	B.R1506023213	B.R1506023214
ENST00000356919.5,0.009,1.872,0.000,0.685,2.131,3.439,0.000,PKD1P5
ENST00000562465.1,0.289,1.280,1.663,1.649,2.636,2.149,3.484,CDAN1
ENST00000472988.1,0.717,0.126,0.000,0.000,0.000,0.000,0.000,SMARCD3
ENST00000546020.2,0.196,0.650,1.454,2.103,1.555,2.859,2.623,PFAS
ENST00000517426.1,4.786,2.124,0.000,0.000,0.000,0.000,0.000,CDK16
ENST00000582615.2,3.026,0.436,0.329,0.723,0.586,1.032,0.181,PIGS
ENST00000555982.1,1.834,0.204,0.000,0.936,0.000,0.000,0.584,PLEKHG3
ENST00000466780.1,0.633,0.543,0.000,0.000,0.000,0.000,0.212,PDZRN3
ENST00000476658.1,0.512,9.833,7.700,6.240,5.272,10.532,4.291,DFFA
ENST00000512853.1,0.512,0.223,0.000,0.000,0.242,0.000,0.000,SNX25
ENST00000486652.1,0.019,8.485,7.680,2.749,16.272,15.100,18.438,WDR26
ENST00000502323.1,3.929,2.250,0.717,0.000,0.768,1.311,0.000,GRSF1
ENST00000398042.2,0.577,4.655,5.219,3.289,8.595,6.900,7.403,TANGO2
ENST00000463651.1,2.439,0.475,0.737,0.637,0.000,0.000,0.000,IQCG
ENST00000429625.1,0.009,2.163,1.653,3.260,3.858,2.300,2.209,MAD1L1
ENST00000498429.1,2.253,0.776,0.000,0.000,0.000,0.000,0.000,TINAGL1
ENST00000263934.6,2.626,1.105,0.000,0.087,0.000,0.000,0.000,KIF1B
ENST00000556691.1,0.708,5.266,2.351,3.299,3.192,2.504,9.516,NEMF
ENST00000330722.6,1.452,23.671,25.788,28.269,35.331,33.273,92.910,KRT6A
ENST00000446867.1,5.223,1.105,1.225,0.174,0.000,2.278,1.062,TMEM191C
ENST00000342210.6,1.899,0.126,0.528,0.646,0.303,0.355,0.489,TLR5
ENST00000476918.1,27.662,3.384,8.736,1.495,5.929,2.461,9.750,HES1
ENST00000290418.4,1.667,0.330,0.558,0.781,0.253,0.484,0.000,CCDC142
ENST00000499879.2,1.434,0.068,0.000,0.000,0.465,0.000,0.000,STK4
ENST00000254043.3,3.715,0.495,0.807,0.675,0.697,0.537,1.296,KRT15
ENST00000220959.4,2.179,1.144,0.239,1.688,0.293,0.000,0.000,UBR5
ENST00000383094.3,1.192,1.144,0.369,0.000,0.000,0.000,0.000,MICAL3
ENST00000400345.3,1.946,0.475,1.175,0.154,0.000,0.000,0.000,NEDD4L
ENST00000340979.6,2.505,1.959,0.000,0.000,1.121,0.000,0.000,IFI16
ENST00000435359.1,0.540,6.012,0.259,4.755,4.040,1.977,2.443,CLUH
ENST00000443785.1,1.797,0.242,0.080,0.588,1.040,0.000,0.276,PAXBP1
ENST00000555855.1,1.648,0.592,0.339,0.000,0.000,0.236,0.149,FOXN3
ENST00000532497.1,0.531,0.359,0.000,0.000,0.000,0.000,0.000,POLD3
ENST00000472434.1,0.251,1.522,1.026,1.186,0.818,2.429,4.131,ADAM15
ENST00000394586.2,1.387,0.378,0.259,0.000,0.000,0.000,0.000,FUT8
ENST00000594523.1,1.024,20.781,25.470,18.663,16.302,0.000,12.575,CALM3
ENST00000583894.1,6.331,1.329,2.590,0.675,1.737,1.096,1.614,DDX5
ENST00000361548.4,3.119,0.679,0.936,0.000,0.404,0.000,1.551,GRHL3
ENST00000467254.1,1.927,0.310,0.299,0.569,0.525,0.000,0.000,IFT80
ENST00000520973.1,1.080,1.338,0.000,0.000,0.000,0.000,0.000,TACC1
ENST00000394938.4,0.419,12.994,12.491,7.359,10.050,8.899,18.735,RPL23A
ENST00000469097.1,0.419,1.998,3.446,3.318,5.747,4.611,6.776,HM13
ENST00000267584.4,0.577,0.116,0.129,0.145,0.121,0.236,0.085,AK7
ENST00000540716.1,1.676,0.524,0.000,1.707,0.000,0.462,0.000,TXNRD1
ENST00000584332.2,2.830,1.833,0.906,0.000,0.000,0.000,0.000,ALDH3A2
ENST00000309364.4,1.192,0.456,0.000,0.000,0.000,0.000,0.000,PLEKHA5
ENST00000312527.4,1.452,0.601,0.000,0.328,0.000,0.978,0.425,B3GAT1
ENST00000340901.4,0.596,0.136,0.100,0.203,0.000,0.236,0.000,RASSF10
ENST00000367309.1,4.721,0.126,1.843,0.878,1.535,2.096,0.000,PHLDA3
ENST00000410064.1,3.762,0.398,0.598,0.434,1.555,0.451,1.912,PTMA
ENST00000558084.1,0.084,0.747,0.807,0.665,0.778,0.000,0.605,KMT2C
ENST00000508244.1,0.065,1.135,1.165,1.312,2.666,0.430,1.221,C5orf42
ENST00000353267.3,0.223,2.415,0.508,3.462,2.040,1.623,3.611,CREB1
ENST00000487831.2,0.186,0.689,1.773,2.652,3.262,8.103,6.564,MDN1
ENST00000472575.1,2.681,0.465,0.667,1.842,0.455,0.000,0.000,AIFM3
ENST00000453292.1,4.106,0.727,0.847,1.360,1.939,0.591,0.181,GNAS
ENST00000310226.6,0.885,0.126,0.110,0.135,0.253,0.408,0.350,FADS6
ENST00000338938.2,0.568,0.339,0.000,0.000,0.000,0.000,0.000,CSPG4P9
ENST00000356259.4,0.009,0.669,0.000,0.000,0.000,1.408,0.361,GIT2
ENST00000527523.1,0.624,0.465,0.020,0.376,0.000,0.054,0.000,SYTL2
ENST00000573283.1,0.298,4.761,1.853,1.263,0.960,3.890,1.975,ACTG1
ENST00000358913.5,0.056,1.455,1.325,0.839,0.667,1.032,1.083,MYPN
ENST00000544448.1,1.732,0.175,0.588,0.000,0.071,0.602,0.266,MAN1B1
ENST00000361704.2,0.130,1.736,4.572,0.000,5.323,4.901,3.781,BRE
ENST00000417431.1,7.104,1.552,0.000,0.000,6.070,0.000,0.000,CAPZA2
ENST00000413196.2,1.965,0.349,0.369,0.665,0.545,0.301,0.361,DHX58
ENST00000591572.1,1.480,0.650,0.000,0.174,0.000,0.000,0.000,PPAP2C
ENST00000436146.1,5.363,0.456,0.000,1.640,4.222,2.450,0.000,RPL15
ENST00000591760.1,7.030,1.959,2.231,3.684,0.000,1.376,0.276,PTPRS
ENST00000554982.1,1.182,0.543,0.000,0.338,0.242,0.000,0.000,AP1G2
ENST00000342811.3,0.605,0.107,0.020,0.000,0.000,0.559,0.000,RPGR
ENST00000440021.1,1.806,0.960,0.000,0.241,0.000,0.742,0.000,FBXO34
ENST00000496857.1,0.344,2.318,2.012,3.241,3.444,2.139,2.889,EHBP1
ENST00000559036.1,4.162,0.689,2.012,2.768,0.000,0.709,0.584,MEF2A
ENST00000576768.1,1.006,0.291,0.379,0.540,0.010,0.000,0.000,TBC1D16
ENST00000551220.1,4.599,1.367,2.072,1.881,0.172,0.484,0.520,B4GALNT1
ENST00000585169.1,5.382,0.756,0.767,0.907,0.000,0.720,1.997,FLOT2
ENST00000492691.1,0.689,3.549,5.439,4.080,6.596,7.211,13.871,PRRC2A
ENST00000368802.3,2.486,1.619,0.199,0.000,0.010,0.269,0.000,REV3L
ENST00000374152.2,1.015,0.378,0.000,0.231,0.000,0.000,0.000,ARID1A
ENST00000580095.1,2.030,1.464,0.458,0.000,0.000,0.000,0.000,TOP3A
ENST00000558472.1,7.151,2.444,1.554,0.916,0.000,0.000,0.000,DUT
ENST00000369125.2,1.173,0.417,0.299,0.299,0.000,0.000,0.000,HACE1
ENST00000424201.2,1.033,0.252,0.538,0.463,0.000,0.000,0.212,CACNA2D2
ENST00000560451.1,0.447,0.184,0.379,0.000,0.000,0.000,0.000,MAN2A2
ENST00000488347.1,0.708,0.126,0.000,0.000,0.394,0.054,0.000,ZMAT1
ENST00000520077.1,1.592,0.291,0.000,0.530,0.000,0.000,0.223,BNIP3L
ENST00000425134.1,2.942,0.427,0.588,1.678,0.364,0.419,0.935,TXNIP
ENST00000248139.3,5.633,3.733,0.767,2.209,0.000,2.085,0.000,RAB40C
ENST00000586113.1,8.836,0.562,2.261,0.231,0.727,0.000,0.000,FOSB
ENST00000536011.1,1.406,0.330,0.000,1.080,0.000,0.000,0.000,RTN3
ENST00000585528.1,1.890,0.921,0.319,0.000,0.434,0.000,0.000,PIK3C3
ENST00000512512.1,1.043,3.375,2.709,2.324,13.322,7.759,14.136,IGFBP7
ENST00000425676.1,0.810,6.303,5.618,7.253,5.101,8.899,9.867,FANCG
ENST00000509053.1,0.847,0.126,0.129,0.000,0.343,0.236,0.042,SSBP2
ENST00000415220.2,0.568,0.145,0.000,0.270,0.404,0.000,0.053,PRKD1
ENST00000315843.3,0.037,0.611,1.036,0.714,0.232,0.000,0.404,GPR156
ENST00000579758.1,0.121,1.319,2.440,0.000,5.909,8.243,12.203,FASN
ENST00000379102.3,3.398,0.048,0.000,1.061,0.000,0.333,0.658,LYRM9
ENST00000592882.1,1.816,0.184,0.129,0.453,0.606,0.000,0.297,CTC-250I14.6
ENST00000437266.1,1.099,1.251,0.259,0.000,0.000,0.000,0.000,SLC4A7
ENST00000523036.1,0.298,7.234,3.058,1.321,2.909,6.588,7.817,DERL1
ENST00000321464.5,0.829,0.427,0.329,0.048,0.020,0.000,0.000,ZBTB38
ENST00000405914.1,1.415,0.504,0.279,0.704,0.152,0.118,0.085,KIF3C
ENST00000537134.1,3.873,1.202,1.663,0.530,1.000,0.301,1.094,C4A
ENST00000475208.1,3.724,0.912,0.209,0.347,0.000,0.247,0.000,TMEM54
ENST00000498711.1,1.769,0.407,1.942,1.861,4.121,21.129,48.345,CLTC
ENST00000580513.1,1.192,0.301,0.229,0.222,0.081,0.548,0.138,AXIN2
ENST00000429448.1,3.147,1.823,0.608,0.444,0.980,0.301,0.499,TTYH3
ENST00000291839.5,2.505,8.582,11.584,11.352,16.767,16.422,21.900,ST6GALNAC6
ENST00000370870.1,5.847,3.607,3.168,0.000,0.253,0.000,0.000,CRYZ
ENST00000492275.1,5.056,2.153,1.325,1.370,0.253,1.021,0.000,TTC3
ENST00000420430.1,0.493,13.324,13.686,14.554,5.020,0.795,7.679,YWHAH
ENST00000525698.1,1.480,0.543,0.000,0.000,0.242,0.000,0.212,PHLDB1
ENST00000479322.1,2.654,10.396,20.439,22.453,20.282,12.434,16.133,TGFB2
ENST00000392770.2,0.521,0.145,0.080,0.000,0.000,0.118,0.276,SCN3B
ENST00000586346.1,1.397,0.495,0.289,0.444,0.040,0.150,0.000,ACBD4
ENST00000439962.1,0.428,1.096,3.257,2.662,4.202,4.847,6.202,EDEM3
ENST00000367177.3,3.501,2.046,0.578,1.119,0.556,0.430,0.212,LRRN2
ENST00000527730.1,2.207,0.155,0.478,0.665,0.141,1.032,0.149,LRRC14
ENST00000379070.3,0.140,0.650,1.952,1.051,1.808,2.149,1.890,CDS2
ENST00000378105.3,0.698,0.019,0.558,0.260,0.141,0.000,0.000,PCDHGA1
ENST00000411976.2,2.691,0.475,0.000,0.540,0.828,0.000,0.000,PRRT3
ENST00000423481.2,0.047,2.841,1.255,0.829,2.040,1.096,0.000,NARS
ENST00000543024.1,0.037,0.689,0.000,0.444,1.707,0.398,7.169,SNX17
ENST00000530866.1,1.546,0.320,0.976,0.000,0.000,0.000,0.244,LTBP3
ENST00000412277.2,1.257,0.281,0.000,0.000,0.465,0.000,0.000,INPP5J
ENST00000467996.1,2.765,1.367,0.926,0.000,1.475,0.064,0.000,RNF13
ENST00000391815.3,3.166,1.115,1.126,0.000,0.000,1.483,0.669,JOSD2
ENST00000449797.1,2.411,0.359,0.916,0.000,0.000,0.000,0.000,SPIRE1
ENST00000597240.1,3.557,1.105,0.349,1.427,0.000,0.000,1.986,ZNF544
ENST00000571750.1,1.369,1.561,0.169,0.000,0.000,0.000,0.234,RFWD3
ENST00000541605.1,0.382,0.078,0.000,0.000,0.000,0.183,0.106,PLB1
ENST00000545065.1,0.903,0.349,0.000,0.000,0.182,0.000,0.085,KNTC1
ENST00000417247.2,5.167,0.010,2.062,0.000,1.515,2.268,0.000,ARHGAP22
ENST00000564558.1,1.229,0.010,0.000,0.222,0.889,0.000,0.542,ZFP90
ENST00000361510.2,0.335,2.589,2.231,1.398,3.151,3.074,3.409,OPA1
ENST00000472010.1,1.620,0.446,0.000,1.177,0.111,0.140,0.000,TMEM8B
ENST00000466499.2,0.978,24.932,21.077,16.406,17.777,20.011,22.590,EIF2S1
ENST00000519053.1,1.527,0.010,0.000,0.502,0.000,0.333,0.000,INTS8
ENST00000369092.4,0.019,3.384,0.000,3.723,0.000,0.000,0.000,TIAL1
ENST00000420282.1,3.613,1.794,0.797,0.955,0.313,0.000,0.297,PPP1CB
ENST00000349124.1,2.151,0.805,0.000,0.733,0.000,0.000,1.073,PTP4A3
ENST00000573634.1,0.400,0.107,0.159,0.000,0.000,0.000,0.000,WSCD1
ENST00000598871.1,1.303,0.436,14.792,13.753,8.060,24.547,5.289,CALM3
ENST00000259199.4,0.335,6.536,3.865,4.080,2.434,3.557,4.418,CBWD2
ENST00000422375.1,2.374,1.105,0.000,0.000,0.000,0.000,0.000,FCHSD2
ENST00000452660.1,1.127,0.223,0.000,0.000,0.000,0.000,0.000,LRCH3
ENST00000379632.2,4.404,1.872,0.000,4.128,0.000,0.000,0.000,BRE
ENST00000354393.2,0.084,0.475,0.747,1.090,1.091,0.570,2.209,MYPN
ENST00000474486.1,0.196,0.902,1.833,1.206,1.959,1.795,5.374,TOMM40L
