##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	R1506023214-S_S9_L004_.non-rRNA.1.P.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	5083960
Sequences flagged as poor quality	0
Sequence length	20-76
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.982002415439933	32.0	32.0	32.0	27.0	32.0
2	31.640635252834404	32.0	32.0	32.0	32.0	32.0
3	35.6838851997262	37.0	37.0	37.0	32.0	37.0
4	36.231646983847234	37.0	37.0	37.0	37.0	37.0
5	36.45732696559375	37.0	37.0	37.0	37.0	37.0
6	40.521229907395025	42.0	42.0	42.0	37.0	42.0
7	40.591727511624796	42.0	42.0	42.0	37.0	42.0
8	40.729831469956494	42.0	42.0	42.0	37.0	42.0
9	40.77049288350026	42.0	42.0	42.0	37.0	42.0
10-11	40.86687690304409	42.0	42.0	42.0	37.0	42.0
12-13	40.919850077498644	42.0	42.0	42.0	37.0	42.0
14-15	40.850564717267645	42.0	42.0	42.0	37.0	42.0
16-17	40.826245092408286	42.0	42.0	42.0	37.0	42.0
18-19	40.813018395109324	42.0	42.0	42.0	37.0	42.0
20-21	40.77717574461174	42.0	42.0	42.0	37.0	42.0
22-23	40.767410110320654	42.0	42.0	42.0	37.0	42.0
24-25	40.75474279011932	42.0	42.0	42.0	37.0	42.0
26-27	40.6832944562772	42.0	42.0	42.0	37.0	42.0
28-29	40.647275248554465	42.0	42.0	42.0	37.0	42.0
30-31	40.65363342121134	42.0	42.0	42.0	37.0	42.0
32-33	40.63829844916417	42.0	42.0	42.0	37.0	42.0
34-35	40.58229029199083	42.0	42.0	42.0	37.0	42.0
36-37	40.63004116859568	42.0	42.0	42.0	37.0	42.0
38-39	40.64691463796962	42.0	42.0	42.0	37.0	42.0
40-41	40.6633553212031	42.0	42.0	42.0	37.0	42.0
42-43	40.65936247768592	42.0	42.0	42.0	37.0	42.0
44-45	40.66558501607328	42.0	42.0	42.0	37.0	42.0
46-47	40.64004648205962	42.0	42.0	42.0	37.0	42.0
48-49	40.63429694263586	42.0	42.0	42.0	37.0	42.0
50-51	40.64670998597077	42.0	42.0	42.0	37.0	42.0
52-53	40.63340317658404	42.0	42.0	42.0	37.0	42.0
54-55	40.61135497634076	42.0	42.0	42.0	37.0	42.0
56-57	40.60850364773536	42.0	42.0	42.0	37.0	42.0
58-59	40.58439649322517	42.0	42.0	42.0	37.0	42.0
60-61	40.57534969142153	42.0	42.0	42.0	37.0	42.0
62-63	40.529256874749905	42.0	42.0	42.0	37.0	42.0
64-65	40.53102295814783	42.0	42.0	42.0	37.0	42.0
66-67	40.52890212832655	42.0	42.0	42.0	37.0	42.0
68-69	40.49776906065708	42.0	42.0	42.0	37.0	42.0
70-71	40.496801683236164	42.0	42.0	42.0	37.0	42.0
72-73	40.484267863691855	42.0	42.0	42.0	37.0	42.0
74-75	40.56889764740386	42.0	42.0	42.0	37.0	42.0
76	40.80556751820635	42.0	42.0	42.0	37.0	42.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.028656504854779996
1101	2	-0.027837431172496707
1101	3	-0.005020647811932122
1101	4	0.05682886399844733
1101	5	0.0779137104343377
1101	6	0.20029769667938524
1101	7	0.005272750407513627
1101	8	0.0290517525518581
1101	9	0.03665720647568094
1101	10-11	0.024869703786016828
1101	12-13	0.06826349169973156
1101	14-15	0.04408823142756546
1101	16-17	-0.026786350218735322
1101	18-19	-0.08300473938817277
1101	20-21	-0.04691644052104493
1101	22-23	-0.15118106795755892
1101	24-25	0.0035096840210186997
1101	26-27	0.01512467548307228
1101	28-29	-0.05103966765187096
1101	30-31	-0.06751279753727601
1101	32-33	-0.05403103687679334
1101	34-35	0.12701941191550503
1101	36-37	0.008841742147119191
1101	38-39	-0.017420279499276603
1101	40-41	0.03456025209309388
1101	42-43	0.016970918889583686
1101	44-45	-0.0435588063921486
1101	46-47	-0.005111476032958251
1101	48-49	0.002468298876017627
1101	50-51	-0.019157337761299686
1101	52-53	-0.11965160135926567
1101	54-55	-0.08769880514926598
1101	56-57	-0.21173401462689867
1101	58-59	-0.1339498151793066
1101	60-61	-0.18149109645796813
1101	62-63	-0.09652021660668453
1101	64-65	-0.05018545133533081
1101	66-67	-0.07505900985270841
1101	68-69	-0.090932753717901
1101	70-71	-0.04512229004551216
1101	72-73	-0.12588623859749504
1101	74-75	-0.1327683629875267
1101	76	-0.16100925956196477
1102	1	-0.1129576601750415
1102	2	0.03637107794046912
1102	3	-0.07584812182412293
1102	4	-0.10817789145416867
1102	5	-0.09480942630153777
1102	6	-0.2095500988371981
1102	7	-0.07998244026168777
1102	8	0.015018333741366519
1102	9	-0.08891700699662408
1102	10-11	-0.2025967257504746
1102	12-13	-0.15901957555148982
1102	14-15	-0.1569891943313877
1102	16-17	-0.18027368029841995
1102	18-19	-0.05917867161306134
1102	20-21	-0.12484679042591296
1102	22-23	-0.14878449404403682
1102	24-25	-0.2531071820186668
1102	26-27	-0.18056389534554995
1102	28-29	-0.07966460637621253
1102	30-31	-0.0756810529292693
1102	32-33	-0.15901749399233722
1102	34-35	-0.18255291063304213
1102	36-37	-0.09492847343680921
1102	38-39	-0.1889976015559327
1102	40-41	-0.1916947102044233
1102	42-43	-0.188421678455434
1102	44-45	-0.15972767945267918
1102	46-47	-0.11243731702069937
1102	48-49	-0.1581527232963751
1102	50-51	-0.1467354989411902
1102	52-53	-0.20086052615336314
1102	54-55	-0.1750395472951638
1102	56-57	-0.18336626971581182
1102	58-59	-0.10882258914788423
1102	60-61	-0.21486608207332836
1102	62-63	-0.17487952742129664
1102	64-65	-0.09741603621916539
1102	66-67	-0.18139572438830243
1102	68-69	-0.2437991205258072
1102	70-71	-0.16035784918310725
1102	72-73	-0.1773354741183084
1102	74-75	-0.21075192128731857
1102	76	-0.11783251095885561
1103	1	-0.19687760146761946
1103	2	-0.06911799179298583
1103	3	-0.017028352713637673
1103	4	-0.01884182451893679
1103	5	0.07650178114668194
1103	6	0.05552796415433647
1103	7	0.08626650402005964
1103	8	-0.021567720428400605
1103	9	0.0289368540122652
1103	10-11	0.050078102854875794
1103	12-13	-0.029026715405571224
1103	14-15	0.023744610309918812
