#ID,Raw-reads,Raw-ave-len,Raw-data(MB),HQ-reads,HQ-ave-len,HQ-data(MB),HQ-read-pct,HQ-data-pct
R1504202609-READ1,75675086,75,5714,66344710,75,4995,87%,87%
R1504202609-READ2,75675086,75,5713,66344710,74,4959,87%,86%
R1504202610-READ1,62400687,75,4711,54306752,75,4088,87%,86%
R1504202610-READ2,62400687,75,4711,54306752,74,4056,87%,86%
R1504202612-READ1,39846837,75,3008,31625672,75,2381,79%,79%
R1504202612-READ2,39846837,75,3007,31625672,74,2349,79%,78%
R1504202613-READ1,57804426,75,4364,48715414,75,3668,84%,84%
R1504202613-READ2,57804426,75,4364,48715414,74,3631,84%,83%
R1504202614-READ1,59816423,75,4516,50407449,75,3795,84%,84%
R1504202614-READ2,59816423,75,4515,50407449,74,3758,84%,83%
R1504202611-READ1,70504397,75,5321,62452518,75,4700,88%,88%
R1504202611-READ2,70504397,75,5321,62452518,74,4670,88%,87%
R1504202615-READ1,75381350,75,5691,64747419,75,4877,85%,85%
R1504202615-READ2,75381350,75,5691,64747419,74,4832,85%,84%
R1504202616-READ1,78379759,75,5918,70889641,75,5337,90%,90%
R1504202616-READ2,78379759,75,5918,70889641,74,5309,90%,89%
R1504202617-READ1,70001135,75,5284,59168452,75,4454,84%,84%
R1504202617-READ2,70001135,75,5283,59168452,74,4412,84%,83%
NA18535-WES-HZ-READ1,31054613,75,2344,26130463,75,1967,84%,84%
NA18535-WES-HZ-READ2,31054613,75,2343,26130463,74,1947,84%,83%
