Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0042439~ethanolamine and derivative metabolic process	4	7.2727272727272725	1.4015116201451127E-4	986127, 986123, 986116, 986120	33	14	4180	36.19047619047619	0.02245023645913702	0.02245023645913702	0.16945803157201178
GOTERM_BP_ALL	GO:0006580~ethanolamine metabolic process	4	7.2727272727272725	1.4015116201451127E-4	986127, 986123, 986116, 986120	33	14	4180	36.19047619047619	0.02245023645913702	0.02245023645913702	0.16945803157201178
GOTERM_BP_ALL	GO:0006576~biogenic amine metabolic process	4	7.2727272727272725	0.0014383169721984797	986127, 986123, 986116, 986120	33	30	4180	16.88888888888889	0.2079851042352634	0.11004781265242314	1.7266083366399676
GOTERM_BP_ALL	GO:0006575~cellular amino acid derivative metabolic process	4	7.2727272727272725	0.006616077028549031	986127, 986123, 986116, 986120	33	51	4180	9.934640522875817	0.6588270568648353	0.3012451092232651	7.718254419925752
GOTERM_BP_ALL	GO:0009308~amine metabolic process	8	14.545454545454545	0.014610887140009299	986099, 984450, 986127, 987898, 986123, 984368, 986116, 986120	33	350	4180	2.895238095238095	0.90785812181668	0.44904736417613955	16.314405304795653
GOTERM_BP_ALL	GO:0044106~cellular amine metabolic process	7	12.727272727272727	0.014967977006742248	986099, 984450, 986127, 986123, 984368, 986116, 986120	33	270	4180	3.2839506172839505	0.9131126376720995	0.386532834977221	16.680632344162127
GOTERM_BP_ALL	GO:0006519~cellular amino acid and derivative metabolic process	7	12.727272727272727	0.019743302559933625	986099, 984450, 986127, 986123, 984368, 986116, 986120	33	287	4180	3.089430894308943	0.9604587355784849	0.41631962393927313	21.438912666322672
GOTERM_BP_ALL	GO:0009605~response to external stimulus	3	5.454545454545454	0.06983034436938287	987162, 985046, 986121	33	57	4180	6.666666666666667	0.9999919263268505	0.8127427083998053	58.35272741518618
GOTERM_BP_ALL	GO:0009064~glutamine family amino acid metabolic process	3	5.454545454545454	0.09468151995890038	986099, 984450, 984368	33	68	4180	5.588235294117648	0.999999899579017	0.8665778119612793	69.989361001675
GOTERM_BP_ALL	GO:0040011~locomotion	3	5.454545454545454	0.09468151995890038	987162, 985046, 986892	33	68	4180	5.588235294117648	0.999999899579017	0.8665778119612793	69.989361001675
