Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0042439~ethanolamine and derivative metabolic process	4	13.793103448275861	1.9793340767067184E-5	986127, 986123, 986116, 986120	18	14	4180	66.34920634920634	0.002135418701476821	0.002135418701476821	0.022285045057568453
GOTERM_BP_ALL	GO:0006580~ethanolamine metabolic process	4	13.793103448275861	1.9793340767067184E-5	986127, 986123, 986116, 986120	18	14	4180	66.34920634920634	0.002135418701476821	0.002135418701476821	0.022285045057568453
GOTERM_BP_ALL	GO:0006576~biogenic amine metabolic process	4	13.793103448275861	2.1205440045271077E-4	986127, 986123, 986116, 986120	18	30	4180	30.962962962962962	0.02264399145933027	0.011386825628613373	0.2385137449503194
GOTERM_BP_ALL	GO:0006575~cellular amino acid derivative metabolic process	4	13.793103448275861	0.0010316546864006773	986127, 986123, 986116, 986120	18	51	4180	18.21350762527233	0.10548733600133464	0.036476825979652405	1.1555151682949627
GOTERM_BP_ALL	GO:0044106~cellular amine metabolic process	6	20.689655172413794	0.0035193892499409533	984751, 986127, 986123, 984368, 986116, 986120	18	270	4180	5.160493827160494	0.3166611769916384	0.09080084416096212	3.8920581501414087
GOTERM_BP_ALL	GO:0006519~cellular amino acid and derivative metabolic process	6	20.689655172413794	0.004588549114246683	984751, 986127, 986123, 984368, 986116, 986120	18	287	4180	4.854819976771196	0.3914667665164573	0.09456587170241426	5.046793593506072
GOTERM_BP_ALL	GO:0009308~amine metabolic process	6	20.689655172413794	0.010642414151872857	984751, 986127, 986123, 984368, 986116, 986120	18	350	4180	3.9809523809523806	0.685112725813387	0.17517999646758375	11.350149254769127
GOTERM_BP_ALL	GO:0034641~cellular nitrogen compound metabolic process	11	37.93103448275862	0.012092234407794753	986109, 984751, 986127, 986093, 986570, 984642, 986123, 984368, 986628, 986116, 986120	18	1248	4180	2.0468304843304845	0.7312359838090283	0.17113922249433866	12.801976864473142
GOTERM_BP_ALL	GO:0006807~nitrogen compound metabolic process	11	37.93103448275862	0.019457301241040288	986109, 984751, 986127, 986093, 986570, 984642, 986123, 984368, 986628, 986116, 986120	18	1331	4180	1.9191919191919193	0.8802203322285506	0.23299554226807873	19.848274157295798
GOTERM_BP_ALL	GO:0044237~cellular metabolic process	13	44.827586206896555	0.03586315350464099	984751, 985949, 986093, 986127, 986570, 986123, 984368, 986116, 986628, 986120, 986109, 987247, 984642	18	1922	4180	1.570701815238756	0.9806367831266287	0.3548448509916917	33.71710114435519
GOTERM_BP_ALL	GO:0044249~cellular biosynthetic process	9	31.03448275862069	0.05742096106833635	986109, 984751, 985949, 986093, 986570, 984642, 984368, 986628, 986116	18	1117	4180	1.8710832587287376	0.9983160856777672	0.4720023384662463	48.61716108035328
GOTERM_BP_ALL	GO:0006767~water-soluble vitamin metabolic process	3	10.344827586206897	0.05781946219946013	984751, 986093, 986116	18	97	4180	7.18213058419244	0.9983912597468436	0.4427575726639149	48.86123797975803
GOTERM_BP_ALL	GO:0042364~water-soluble vitamin biosynthetic process	3	10.344827586206897	0.05781946219946013	984751, 986093, 986116	18	97	4180	7.18213058419244	0.9983912597468436	0.4427575726639149	48.86123797975803
GOTERM_BP_ALL	GO:0009110~vitamin biosynthetic process	3	10.344827586206897	0.0699114251170106	984751, 986093, 986116	18	108	4180	6.450617283950617	0.9996013190960544	0.4791426629905088	55.783574975490154
GOTERM_BP_ALL	GO:0006766~vitamin metabolic process	3	10.344827586206897	0.0699114251170106	984751, 986093, 986116	18	108	4180	6.450617283950617	0.9996013190960544	0.4791426629905088	55.783574975490154
GOTERM_BP_ALL	GO:0009058~biosynthetic process	9	31.03448275862069	0.07234846657557838	986109, 984751, 985949, 986093, 986570, 984642, 984368, 986628, 986116	18	1167	4180	1.7909168808911742	0.9996996928894013	0.4641496621356338	57.070730638651625
GOTERM_BP_ALL	GO:0006520~cellular amino acid metabolic process	4	13.793103448275861	0.07794185341649308	984751, 986127, 984368, 986120	18	251	4180	3.700752545374059	0.9998437221592115	0.46526879498243157	59.89685330218097
GOTERM_BP_ALL	GO:0006066~alcohol metabolic process	4	13.793103448275861	0.08092475980524891	986127, 986123, 986116, 986120	18	255	4180	3.642701525054466	0.9998898675826389	0.45533724542407594	61.333675467843165
