GeneName,GeneID,pH7.4(control),pH4.8,5%NaCl,5mM H2O2
dnaA,984365,249,50,1630,2041
dnaN,984379,1302,191,11929,10207
lmo0003,984420,18,13,165,145
lmo0004,984453,33,0,511,470
recF,984623,62,26,619,708
gyrB,984708,542,161,2616,2407
gyrA,984791,983,193,3119,2391
lmo0008,984834,100,45,668,869
lmo0009,984861,122,25,983,1219
lmo0010,984924,43,12,516,616
lmo0011,984930,89,11,775,520
lmo0012,984932,142,14,1787,820
qoxA,984936,56,43,1782,999
qoxB,984962,172,320,5913,2513
qoxC,984980,53,50,11812,2291
qoxD,984983,42,42,6111,1350
lmo0017,984984,0,2,144,85
lmo0018,984990,13,1,174,398
lmo0019,985005,38,3,1957,1190
lmo0020,985023,14,5,323,413
lmo0021,985040,2,0,141,251
lmo0022,985051,0,0,8,5
lmo0023,985053,6,0,13,16
lmo0024,985058,2,0,9,7
lmo0025,985061,13,0,335,52
lmo0026,985069,0,0,15,13
lmo0027,985074,285,12,9448,289
lmo0028,985088,15,3,534,397
lmo0029,985092,1866,92,33063,15381
lmo0030,985106,120,2,717,413
lmo0031,985116,62,6,426,584
lmo0032,985121,1,1,8,13
lmo0033,985131,0,1,10,23
lmo0034,985136,4,1,11,14
lmo0035,985145,3,2,78,83
lmo0036,985152,16,19,144,119
lmo0037,985153,6,0,112,104
lmo0038,985162,8,113,35,37
lmo0039,985163,15,1,137,240
lmo0040,985194,17,50,175,149
lmo0041,985277,4,1,218,109
lmo0042,985331,150,99,1263,1202
lmo0043,985417,64,42,3182,1139
rpsF,985454,627,80,7405,3577
ssb,985468,2267,121,35623,11341
rpsR,985537,5811,942,8253,2577
lmo0047,985583,90,18,693,533
lmo0048,985598,63,8,2794,736
lmo0049,985690,5,5,1211,263
lmo0050,985694,71,48,1145,553
lmo0051,985847,146,3,520,371
lmo0052,986050,209,44,2141,2801
rplI,986067,34,1,639,544
dnaC,986068,254,68,2965,3119
purA,986069,1892,100,2015,1106
lmo0056,986070,60,0,1160,375
lmo0057,986071,0,1,25,16
lmo0058,986073,0,0,1,1
lmo0059,986184,0,0,1,0
lmo0060,986285,1,0,11,8
lmo0061,986287,0,0,30,37
lmo0062,986293,0,0,0,0
lmo0063,986361,0,0,0,0
lmo0064,986373,0,0,0,0
lmo0065,986383,0,0,0,0
lmo0066,986392,0,0,0,0
lmo0067,986401,0,0,0,0
lmo0068,986408,0,0,0,0
lmo0069,986411,0,0,0,0
lmo0070,986434,0,0,0,0
lmo0071,986441,0,0,0,0
lmo0072,986445,0,0,0,0
lmo0073,986452,0,0,0,0
lmo0074,986466,0,0,0,0
lmo0075,986472,0,0,327,502
lmo0076,986519,45,0,467,308
lmo0077,986552,126,2,919,267
lmo0078,986565,168,9,510,305
lmot01,3167605,0,0,6,19
lmo0079,986575,0,0,0,0
lmo0080,986576,0,0,0,0
lmo0081,986577,0,0,0,0
lmo0082,986579,2,14,382,203
lmo0083,986580,3,0,1418,562
lmo0084,986581,6,5,119,184
lmo0085,986582,0,0,3,4
lmo0086,986583,5,2,66,51
lmo0087,986585,0,0,19,18
lmo0088,986586,0,0,2,4
lmo0089,986587,0,0,11,15
lmo0090,986589,3,0,26,20
lmo0091,986593,0,0,28,15
lmo0092,986598,6,0,98,49
lmo0093,986604,3,0,100,40
lmo0094,986607,28,3,1011,400
lmo0095,986608,31,16,542,195
lmo0096,986611,1583,43,408,243
lmo0097,986614,1838,108,361,193
lmo0098,986620,6967,604,9753,2926
lmo0099,986621,154,40,1097,625
lmo0100,986623,176,3,3360,4621
lmo0101,986628,3,3,3887,2144
lmo0102,986630,1,0,55,79
lmo0103,986631,65,22,196,199
lmo0104,986632,26,17,860,1416
lmo0105,986634,37,2,119,114
lmo0106,986639,83,14,1525,2230
lmo0107,986644,3,3,32,48
lmo0108,986645,7,4,46,81
lmo0109,986650,16,1,301,173
lmo0110,986652,66,7,244,228
lmo0111,986654,23,27,245,587
lmo0112,986655,17,25,418,457
lmo0113,986656,76,36,1196,996
lmo0114,986659,21,8,956,428
lmaD,986665,20,2,77,31
lmaC,986666,82,17,98,34
lmaB,986670,162,19,177,130
lmaA,986672,280,208,178,195
lmo0119,986674,20,63,28,33
lmo0120,986675,57,89,30,25
lmo0121,986683,473,2251,257,329
lmo0122,986687,138,907,50,108
lmo0123,986689,210,278,74,97
lmo0124,986692,54,32,18,22
lmo0125,986693,148,76,46,53
lmo0126,986697,618,1632,96,144
lmo0127,986705,127,368,61,84
lmo0128,986706,56,108,75,109
lmo0129,986713,212,151,487,378
lmo0130,986721,735,88,672,131
lmo0131,986722,6,0,171,323
lmo0132,986732,278,6,628,752
lmo0133,986735,2,0,392,218
lmo0134,986737,37,3,743,1291
lmo0135,986748,38,53,6187,2660
lmo0136,986752,11,28,1035,457
lmo0137,986757,91,53,2328,678
lmo0138,986772,0,0,2,5
lmo0139,986775,0,0,0,0
lmo0140,986783,0,0,4,12
lmo0141,986784,0,0,0,0
lmo0142,986788,0,0,0,0
lmo0143,986794,0,0,0,0
lmo0144,986795,0,0,0,0
lmo0145,986797,0,0,0,0
lmo0146,986800,0,0,0,0
lmo0147,986802,0,0,145,56
lmo0148,986805,0,0,137,74
lmo0149,986806,0,0,1,0
lmo0150,986809,0,0,0,0
lmo0151,986811,0,0,0,0
lmo0152,986821,89,73,12292,8260
lmo0153,986823,6,0,19,21
lmo0154,986826,6,0,55,48
lmo0155,986832,14,9,75,57
lmo0156,986833,3,8,34,54
lmo0157,986835,31,13,576,645
lmo0158,986836,60,2,1119,1034
lmo0159,986840,8,2,51,71
lmo0160,986846,24,13,508,207
lmo0161,986851,374,11,3017,1724
lmo0162,986854,110,19,899,533
lmo0163,986862,191,76,1586,746
lmo0164,986868,161,1,757,245
lmo0165,986872,33,0,194,100
lmo0166,986878,5,0,93,95
lmo0167,986880,101,15,1121,506
lmo0168,986889,15,2,974,703
lmo0169,986890,168,23,3167,678
lmo0170,986891,215,57,2927,3222
lmo0171,986893,50,35,895,591
lmo0172,986894,8,52,262,521
lmo0173,986908,0,1,27,33
lmo0174,986910,0,1,11,6
lmo0175,986928,0,0,113,60
lmo0176,986935,2354,294,6072,4646
metS,986940,947,114,21384,8261
lmo0178,986964,296,16,2616,415
lmo0179,986967,188,24,539,107
lmo0180,986972,85,11,156,66
lmo0181,986977,41,0,355,36
lmo0182,986983,17,2,117,54
lmo0183,987006,99,14,341,113
lmo0184,987008,112,12,828,181
lmo0185,987009,24,0,203,334
lmo0186,987011,1107,13,1676,6667
lmo0187,987012,15,4,165,207
ksgA,987014,130,4,2017,758
lmo0189,987015,824,128,15304,25369
ipk,987016,70,6,707,676
lmo0191,987017,498,17,5385,4182
lmo0192,987018,267,11,2435,1103
lmo0193,987019,28,2,56,62
lmo0194,987020,46,9,88,66
lmo0195,987022,174,93,1396,956
lmo0196,987023,1118,112,8560,13832
lmo0197,987024,2203,310,3547,6365
glmU,987026,622,60,2530,2102
prs,987027,1882,136,2357,1467
prfA,987031,56,64,4578,3418
plcA,987032,8,2,357,200
hly,987033,42,49,1589,602
mpl,987034,15,21,336,142
actA,987035,1,14,177,80
plcB,987036,5,6,349,161
lmo0206,987037,0,4,91,34
lmo0207,987038,2,6,90,44
lmo0208,987041,606,151,3690,5030
lmo0209,987042,23,18,624,777
ldh,987043,1078,263,24239,29758
ctc,987044,490,107,18687,46595
lmo0212,987045,13,4,304,440
pth,987046,184,31,1931,2155
mfd,987048,205,72,961,739
lmo0215,987049,579,176,4300,3407
lmo0216,987050,8,1,4443,1508
lmo0217,987052,29,10,1326,1025
lmo0218,987053,461,28,9248,6552
lmo0219,987055,387,91,1946,2390
ftsH,987058,1556,333,10209,6863
lmo0221,987060,72,27,336,361
hslO,987062,377,25,5046,2593
cysK,987069,243,54,6305,13785
sul,987081,124,23,330,219
folA,987089,26,50,193,94
folK,987097,2,10,85,38
lmo0227,987098,126,2,7822,893
lysS,987100,2900,1959,39573,8790
lmor01,987104,118783,32920,605303,487510
lmor02,987106,206072,54665,862782,695872
lmor03,987109,11865,1807,277515,256112
lmot02,3167623,0,0,645,920
lmot03,3167624,0,0,220,249
lmot04,3167625,0,0,2151,1032
lmot05,3167626,0,0,3736,1485
lmot06,3167627,0,0,622,364
lmot07,3167628,0,0,113,118
lmot08,3167629,0,0,281,354
lmot09,3167630,0,0,76,28
lmot10,3167631,0,0,1112,701
lmor04,987145,95512,39998,457896,385419
lmor05,987180,125151,50579,775138,625341
lmor06,987183,13497,2147,276634,256258
lmo0229,987186,13,8,525,584
lmo0230,987194,8,5,162,133
lmo0231,987202,59,14,884,495
clpC,987203,280,105,5252,4854
lmo0233,987204,147,27,658,857
lmo0234,987212,177,67,2022,1872
ispD,987220,111,18,456,450
ispF,987228,101,45,671,635
gltX,987229,934,79,24017,9065
cysE,987230,5,2,145,217
cysS,987258,175,32,3299,1397
lmo0240,987262,11,0,233,112
lmo0241,987267,2,0,84,38
lmo0242,987272,2,0,100,44
sigH,987276,8,0,262,159
rpmG,987282,10,0,1107,1060
secE,987283,17,15,703,770
nusG,987288,1314,10,3174,2743
lmo0247,987292,0,0,19,17
rplK,987298,499,454,1991,1799
rplA,987301,2306,225,4285,3498
rplJ,987306,2019,119,3537,1775
rplL,987315,3695,56,9279,4770
lmo0252,987321,0,0,0,0
lmo0253,987325,0,0,0,0
lmo0254,987329,0,0,0,0
lmo0255,987335,0,0,101,98
lmo0256,987337,18,0,1142,438
lmo0257,987339,4,0,103,66
rpoB,987342,3196,1147,6023,3798
rpoC,987344,5143,1060,9863,5099
lmo0260,987345,2,0,16,44
lmo0261,987346,73,21,282,674
inlG,987350,8,0,63,57
inlH,987355,128,74,3165,1479
inlE,987358,4,29,80,58
lmo0265,987360,37,3,808,191
lmo0266,987368,15,1,38,42
lmo0267,987388,19,1,81,101
lmo0268,987396,185,1,442,386
lmo0269,987397,67,9,449,190
lmo0270,987398,132,52,914,392
lmo0271,987399,66,37,897,614
lmo0272,987400,1087,27,1878,1304
lmo0273,987401,22,8,656,930
lmo0274,987410,63,26,6202,1306
lmo0275,987414,132,6,912,348
lmo0276,987415,18,26,191,246
lmo0277,987427,139,2,1117,1336
lmo0278,987432,633,21,13997,2600
lmo0279,987434,243,49,2714,13246
lmo0280,987436,210,42,1241,4542
lmo0281,987437,15,4,1617,1254
lmo0282,987439,247,17,1177,641
lmo0283,987440,182,44,400,227
lmo0284,987441,55,15,321,155
lmo0285,987445,47,5,235,64
lmo0286,987447,37,8,263,283
lmo0287,987448,2274,285,21011,10608
lmo0288,987449,69,38,520,855
lmo0289,987451,83,22,1723,928
lmo0290,987453,108,16,2904,1404
lmo0291,987454,149,35,1656,1008
lmo0292,987455,325,164,15195,13147
lmo0293,987456,7,0,61,87
lmo0294,987457,0,0,0,0
lmo0295,987458,0,0,0,0
lmo0296,987461,59,32,3633,3030
lmo0297,987506,6,3,99,42
lmo0298,987507,4,2,92,25
lmo0299,987508,1,0,19,3
lmo0300,987510,8,0,68,16
lmo0301,987511,2,0,24,1
lmo0302,987513,12,0,20,48
lmo0303,987514,8,0,237,227
lmo0304,987515,13,0,365,160
lmo0305,987517,129,14,8340,3908
lmo0306,987520,0,1,13,7
lmo0307,987521,0,1,102,119
lmo0308,987522,0,0,0,1
lmo0309,987523,0,0,0,0
lmo0310,987524,0,0,0,0
lmo0311,987525,0,0,0,0
lmo0312,987527,0,0,0,0
lmo0313,987528,0,0,0,0
lmo0314,987529,0,0,56,53
lmo0315,987530,0,0,878,197
lmo0316,987532,11,0,402,51
lmo0317,987534,148,3,500,57
thiE,987536,2,3,355,42
lmo0319,987537,54,31,676,247
lmo0320,987538,0,0,0,0
lmo0321,987539,524,129,22204,3993
lmo0322,987554,0,0,35,17
lmo0323,987557,17,8,408,327
lmo0324,987558,0,0,0,1
lmo0325,987559,26,0,1107,430
lmo0326,987560,0,0,8,8
lmo0327,987561,7,2,29,59
lmo0328,987562,0,0,2,6
lmo0329,987563,0,0,14,9
lmo0330,987564,33,44,307,496
lmo0331,987566,60,10,365,187
lmo0332,987567,14,0,349,192
lmo0333,987568,15,20,253,492
lmo0334,987569,4,1,437,247
lmo0335,987570,0,0,11,6
lmo0336,987572,0,0,3,6
lmo0337,987574,0,0,15,47
lmo0338,987576,0,0,0,0
