Breakpoints,probability,stand_left_breakpoint,strand_right_breakpoint,SV_type,Paired_Reads,Splitted_Reads,Left_gene(:DE),Right_gene (:DE)
chr6:136589478;chr6:136590599,0.0019802,+,-,DELETION,PE:10,SR:0,BCLAF1:DE,BCLAF1:DE
chr15:93515798;chr15:93516100,9.93E-33,+,-,DELETION,PE:10,SR:10,CHD2:DE,CHD2:DE
chr6:136582614;chr6:136590594,0.002,+,-,DELETION,PE:14,SR:0,BCLAF1:DE,BCLAF1:DE
chr6:160131990;chr6:160133611,1.67E-39,+,-,DELETION,PE:15,SR:0,SOD2:DE,SOD2:DE
chr14:105415195;chr14:105415742,0.0027248,+,-,DELETION,PE:21,SR:0,AHNAK2:DE,AHNAK2:DE
chr6:136597519;chr6:136599000,0.00278552,+,-,DELETION,PE:22,SR:0,BCLAF1:DE,BCLAF1:DE
chr6:136582615;chr6:136589299,4.96E-59,+,-,DELETION,PE:22,SR:13,BCLAF1:DE,BCLAF1:DE
chr6:4050257;chr6:4050560,2.58E-08,+,-,DELETION,PE:2,SR:2,PRPF4B:DE,PRPF4B:DE
chr16:70553024;chr16:70553329,2.58E-08,+,-,DELETION,PE:2,SR:5,COG4:DE,COG4:DE
chr6:136590750;chr6:136596673,6.34E-10,+,-,DELETION,PE:3,SR:0,BCLAF1:DE,BCLAF1:DE
chr6:136599887;chr6:136610849,0.00177936,+,-,DELETION,PE:3,SR:0,BCLAF1:DE,BCLAF1:DE
chr12:133352720;chr12:133353266,inf,+,-,DELETION,PE:3,SR:0,GOLGA3:DE,GOLGA3:DE
chr12:104379486;chr12:104380757,1.48E-10,+,-,DELETION,PE:3,SR:0,TDG:DE,TDG:DE
chr2:202146658;chr2:202149440,1.01E-122,+,-,DELETION,PE:49,SR:4,CASP8:DE,CASP8:DE
chr6:136599909;chr6:136603724,0.00191571,+,-,DELETION,PE:4,SR:0,BCLAF1:DE,BCLAF1:DE
chr6:32489816;chr6:32552014,1.02E-124,+,-,DELETION,PE:51,SR:0,HLA-DRB5:DE,HLA-DRB1
chr14:105411805;chr14:105412432,0.00181488,+,-,DELETION,PE:5,SR:0,AHNAK2:DE,AHNAK2:DE
chr6:136594325;chr6:136596697,9.31E-15,+,-,DELETION,PE:5,SR:0,BCLAF1:DE,BCLAF1:DE
chr6:136599899;chr6:136600898,0.00189394,+,-,DELETION,PE:5,SR:0,BCLAF1:DE,BCLAF1:DE
chr6:136590724;chr6:136594218,1.81E-06,+,-,DELETION,PE:6,SR:0,BCLAF1:DE,BCLAF1:DE
chr14:105415533;chr14:105418540,1.26E-19,+,-,DELETION,PE:7,SR:0,AHNAK2:DE,AHNAK2:DE
chr14:105417223;chr14:105418319,6.82E-25,+,-,DELETION,PE:9,SR:0,AHNAK2:DE,AHNAK2:DE
chr19:55604686;chr19:55605662,6.86E-25,+,-,DELETION,PE:9,SR:0,PPP1R12C:DE,PPP1R12C:DE
chr6:32489617;chr6:32551782,2.02E-60,-,+,DUPLICATION,PE:24,SR:0,HLA-DRB5:DE,HLA-DRB1
chr14:105413057;chr14:105418463,6.30E-13,-,+,DUPLICATION,PE:4,SR:0,AHNAK2:DE,AHNAK2:DE
chr12:52844352;chr12:52885337,9.69E-25,-,+,DUPLICATION,PE:9,SR:0,KRT6B:DE,KRT6A
chr5:110284223;chr6:136582614,1.48E-10,-,+,INTERCHROM,PE:3,SR:0,CTD-2089O24.1,BCLAF1:DE
chr5:110284484;chr6:136594225,0.00187617,+,-,INTERCHROM,PE:3,SR:0,CTD-2089O24.1,BCLAF1:DE
chr6:66803829;chr13:45523973,1.06E-10,-,+,INTERCHROM,PE:3,SR:0,NUFIP1P,NUFIP1:DE
chr15:28391602;chr15:31125089,2.93E-10,-,-,INVERSION,PE:3,SR:0,HERC2:DE,HERC2P10
chr21:27374313;chr21:27374675,2.09E-13,-,-,INVERSION,PE:4,SR:0,APP:DE,APP:DE
chr22:36597696;chr22:36651360,0.0019305,-,-,INVERSION,PE:8,SR:0,APOL4,APOL1:DE
,,,,,,,,
** the tale is almost the same as that of structural variants table except that genes were annotated as Differential Expression via cross-examining results from both analyses,,,,,,,,
