chromosome,position_start,position_end,category,TranscriptID,GeneID,GeneSymbol
chr1,101701418,101701881,alter_trans_start/end,ENST00000432195.1,ENSG00000225938.1,RP4-575N6.4
chr1,10449974,10457630,alter_trans_start/end,ENST00000579866.1,ENSG00000265945.1,RN7SL721P
chr1,10697465,10698772,intron_retention,ENST00000377022.3,ENSG00000130940.10,CASZ1
chr1,10697465,10698772,intron_retention,ENST00000478524.1,ENSG00000130940.10,CASZ1
chr1,113059039,113063922,alter_trans_start/end,ENST00000256640.5,ENSG00000134245.13,WNT2B
chr1,113059039,113063922,alter_trans_start/end,ENST00000369684.4,ENSG00000134245.13,WNT2B
chr1,113059039,113063922,alter_trans_start/end,ENST00000369686.5,ENSG00000134245.13,WNT2B
chr1,113059039,113063922,alter_trans_start/end,ENST00000608357.1,ENSG00000273483.1,RP4-671G15.2
chr1,1177676,1177940,intron_retention,ENST00000330388.2,ENSG00000184163.3,FAM132A
chr1,1177676,1177940,intron_retention,ENST00000462849.1,ENSG00000184163.3,FAM132A
chr1,1177676,1177940,intron_retention,ENST00000478606.1,ENSG00000184163.3,FAM132A
chr1,120165706,120165983,intron_retention,ENST00000421812.2,ENSG00000143067.4,ZNF697
chr1,120166044,120166129,intron_retention,ENST00000421812.2,ENSG00000143067.4,ZNF697
chr1,120926696,120934687,alter_trans_start/end,ENST00000369178.4,ENSG00000198019.8,FCGR1B
chr1,120926696,120934687,alter_trans_start/end,ENST00000369383.4,ENSG00000198019.8,FCGR1B
chr1,120926696,120934687,alter_trans_start/end,ENST00000369384.4,ENSG00000198019.8,FCGR1B
chr1,120926696,120934687,alter_trans_start/end,ENST00000426275.1,ENSG00000234998.1,RP11-439A17.10
chr1,120926696,120934687,alter_trans_start/end,ENST00000457996.1,ENSG00000233029.3,RP11-439A17.9
chr1,120926696,120934687,alter_trans_start/end,ENST00000466915.1,ENSG00000198019.8,FCGR1B
chr1,120926696,120934687,alter_trans_start/end,ENST00000471609.1,ENSG00000198019.8,FCGR1B
chr1,120926696,120934687,alter_trans_start/end,ENST00000472543.1,ENSG00000198019.8,FCGR1B
chr1,12262228,12274766,alter_trans_start/end,ENST00000376259.3,ENSG00000028137.12,TNFRSF1B
chr1,12262228,12274766,alter_trans_start/end,ENST00000492361.1,ENSG00000028137.12,TNFRSF1B
chr1,138941,139457,intron_retention,ENST00000423372.3,ENSG00000237683.5,AL627309.1
chr1,142804609,142805094,intron_retention,ENST00000423385.1,ENSG00000234978.1,RP11-423O2.5
chr1,142804609,142805094,intron_retention,ENST00000457776.2,ENSG00000232745.2,ANKRD20A14P
chr1,143231561,143235034,alter_trans_start/end,ENST00000422716.1,ENSG00000225278.3,RP11-782C8.5
chr1,143231561,143235034,alter_trans_start/end,ENST00000427309.1,ENSG00000225278.3,RP11-782C8.5
chr1,143231561,143235034,alter_trans_start/end,ENST00000428930.1,ENSG00000230850.3,RP11-782C8.1
chr1,143231561,143235034,alter_trans_start/end,ENST00000429121.1,ENSG00000225278.3,RP11-782C8.5
chr1,143231561,143235034,alter_trans_start/end,ENST00000438000.1,ENSG00000230850.3,RP11-782C8.1
chr1,143231561,143235034,alter_trans_start/end,ENST00000447407.1,ENSG00000230850.3,RP11-782C8.1
chr1,143465438,143467662,alter_trans_start/end,ENST00000329536.8,ENSG00000185044.10,RP11-435B5.4
chr1,143465438,143467662,alter_trans_start/end,ENST00000419027.1,ENSG00000185044.10,RP11-435B5.4
chr1,143465438,143467662,alter_trans_start/end,ENST00000424068.1,ENSG00000185044.10,RP11-435B5.4
chr1,143465438,143467662,alter_trans_start/end,ENST00000432361.1,ENSG00000185044.10,RP11-435B5.4
chr1,143465438,143467662,alter_trans_start/end,ENST00000436326.2,ENSG00000185044.10,RP11-435B5.4
chr1,143465438,143467662,alter_trans_start/end,ENST00000443548.1,ENSG00000185044.10,RP11-435B5.4
