chromosome,position_start,position_end,category,TranscriptID,GeneID,GeneSymbol
chr1,112142717,112151351,alter_trans_start/end,ENST00000356415.1,ENSG00000116473.10,RAP1A
chr1,112142717,112151351,alter_trans_start/end,ENST00000441004.1,ENSG00000231346.1,RP5-836N10.1
chr1,112142717,112151351,alter_trans_start/end,ENST00000450155.1,ENSG00000231346.1,RP5-836N10.1
chr1,112142717,112151351,alter_trans_start/end,ENST00000453988.1,ENSG00000231346.1,RP5-836N10.1
chr1,112147324,112150835,exon_skipping,ENST00000356415.1,ENSG00000116473.10,RAP1A
chr1,112147324,112150835,exon_skipping,ENST00000441004.1,ENSG00000231346.1,RP5-836N10.1
chr1,112147324,112150835,exon_skipping,ENST00000450155.1,ENSG00000231346.1,RP5-836N10.1
chr1,112147324,112150835,exon_skipping,ENST00000453988.1,ENSG00000231346.1,RP5-836N10.1
chr1,112147324,112151351,alter_trans_start/end,ENST00000356415.1,ENSG00000116473.10,RAP1A
chr1,112147324,112151351,alter_trans_start/end,ENST00000441004.1,ENSG00000231346.1,RP5-836N10.1
chr1,112147324,112151351,alter_trans_start/end,ENST00000450155.1,ENSG00000231346.1,RP5-836N10.1
chr1,112147324,112151351,alter_trans_start/end,ENST00000453988.1,ENSG00000231346.1,RP5-836N10.1
chr1,113933673,114123164,alter_trans_start/end,ENST00000307546.9,ENSG00000081026.14,MAGI3
chr1,113933673,114123164,alter_trans_start/end,ENST00000369611.4,ENSG00000081026.14,MAGI3
chr1,113933673,114123164,alter_trans_start/end,ENST00000369615.1,ENSG00000081026.14,MAGI3
chr1,113933673,114123164,alter_trans_start/end,ENST00000369617.4,ENSG00000081026.14,MAGI3
chr1,113933673,114123164,alter_trans_start/end,ENST00000424736.2,ENSG00000232499.2,RP11-512F24.1
chr1,113933673,114123164,alter_trans_start/end,ENST00000448677.1,ENSG00000238256.1,MTND5P20
chr1,113933673,114123164,alter_trans_start/end,ENST00000477955.1,ENSG00000081026.14,MAGI3
chr1,113933673,114123164,alter_trans_start/end,ENST00000486456.1,ENSG00000081026.14,MAGI3
chr1,114123283,114165455,alter_trans_start/end,ENST00000307546.9,ENSG00000081026.14,MAGI3
chr1,114123283,114165455,alter_trans_start/end,ENST00000369611.4,ENSG00000081026.14,MAGI3
chr1,114123283,114165455,alter_trans_start/end,ENST00000369615.1,ENSG00000081026.14,MAGI3
chr1,114123283,114165455,alter_trans_start/end,ENST00000369617.4,ENSG00000081026.14,MAGI3
chr1,114123283,114165455,alter_trans_start/end,ENST00000486456.1,ENSG00000081026.14,MAGI3
chr1,11882722,11883764,alter_trans_start/end,ENST00000312413.6,ENSG00000011021.17,CLCN6
chr1,11882722,11883764,alter_trans_start/end,ENST00000346436.6,ENSG00000011021.17,CLCN6
chr1,11882722,11883764,alter_trans_start/end,ENST00000376487.3,ENSG00000011021.17,CLCN6
chr1,11882722,11883764,alter_trans_start/end,ENST00000376490.3,ENSG00000011021.17,CLCN6
chr1,11882722,11883764,alter_trans_start/end,ENST00000376491.3,ENSG00000011021.17,CLCN6
chr1,11882722,11883764,alter_trans_start/end,ENST00000376492.3,ENSG00000011021.17,CLCN6
chr1,11882722,11883764,alter_trans_start/end,ENST00000376496.3,ENSG00000011021.17,CLCN6
chr1,1243996,1244466,alter_trans_start/end,ENST00000379031.5,ENSG00000169972.7,PUSL1
chr1,1243996,1244466,alter_trans_start/end,ENST00000463758.1,ENSG00000169972.7,PUSL1
chr1,1243996,1244466,alter_trans_start/end,ENST00000467712.1,ENSG00000169972.7,PUSL1
chr1,1243996,1244466,alter_trans_start/end,ENST00000470520.1,ENSG00000169972.7,PUSL1
chr1,1243996,1244466,alter_trans_start/end,ENST00000472541.1,ENSG00000131584.14,ACAP3
chr1,1372864,1374930,alter_trans_start/end,ENST00000338660.5,ENSG00000179403.10,VWA1
chr1,1372864,1374930,alter_trans_start/end,ENST00000404702.3,ENSG00000179403.10,VWA1
chr1,1372864,1374930,alter_trans_start/end,ENST00000476993.1,ENSG00000179403.10,VWA1
chr1,145337862,145338690,alter_trans_start/end,ENST00000342960.5,ENSG00000163386.16,NBPF10
chr1,145337862,145338690,alter_trans_start/end,ENST00000369338.1,ENSG00000163386.16,NBPF10
chr1,145337862,145338690,alter_trans_start/end,ENST00000369339.3,ENSG00000163386.16,NBPF10
chr1,145337862,145338690,alter_trans_start/end,ENST00000448873.2,ENSG00000163386.16,NBPF10
chr1,145337862,145338690,alter_trans_start/end,ENST00000490598.2,ENSG00000163386.16,NBPF10
chr1,145337862,145338690,alter_trans_start/end,ENST00000605176.1,ENSG00000163386.16,NBPF10
chr1,145339512,145341019,alter_trans_start/end,ENST00000342960.5,ENSG00000163386.16,NBPF10
chr1,145339512,145341019,alter_trans_start/end,ENST00000369338.1,ENSG00000163386.16,NBPF10
chr1,145339512,145341019,alter_trans_start/end,ENST00000369339.3,ENSG00000163386.16,NBPF10
chr1,145339512,145341019,alter_trans_start/end,ENST00000448873.2,ENSG00000163386.16,NBPF10
chr1,145339512,145341019,alter_trans_start/end,ENST00000490598.2,ENSG00000163386.16,NBPF10
chr1,145339512,145341019,alter_trans_start/end,ENST00000605176.1,ENSG00000163386.16,NBPF10
chr1,145457309,145470392,alter_trans_start/end,ENST00000369313.3,ENSG00000121851.8,POLR3GL
chr1,145457309,145470392,alter_trans_start/end,ENST00000369314.1,ENSG00000121851.8,POLR3GL
chr1,145457309,145470392,alter_trans_start/end,ENST00000446572.2,ENSG00000121851.8,POLR3GL
chr1,145457309,145470392,alter_trans_start/end,ENST00000471706.1,ENSG00000121851.8,POLR3GL
chr1,146455733,146456417,alter_trans_start/end,ENST00000309471.8,ENSG00000186275.7,NBPF12
chr1,146455733,146456417,alter_trans_start/end,ENST00000442909.2,ENSG00000186275.7,NBPF12
chr1,146455733,146456417,alter_trans_start/end,ENST00000446080.2,ENSG00000186275.7,NBPF12
chr1,146455733,146456417,alter_trans_start/end,ENST00000446760.2,ENSG00000186275.7,NBPF12
chr1,146460493,146462025,alter_trans_start/end,ENST00000309471.8,ENSG00000186275.7,NBPF12
chr1,146460493,146462025,alter_trans_start/end,ENST00000442909.2,ENSG00000186275.7,NBPF12
chr1,146460493,146462025,alter_trans_start/end,ENST00000446080.2,ENSG00000186275.7,NBPF12
chr1,146460493,146462025,alter_trans_start/end,ENST00000446760.2,ENSG00000186275.7,NBPF12
chr1,147586775,147588169,alter_trans_start/end,ENST00000369226.3,ENSG00000203836.7,NBPF24
chr1,147586775,147588169,alter_trans_start/end,ENST00000369228.5,ENSG00000203836.7,NBPF24
chr1,147586775,147588169,alter_trans_start/end,ENST00000474625.1,ENSG00000203836.7,NBPF24
chr1,147586775,147588169,alter_trans_start/end,ENST00000480568.1,ENSG00000203836.7,NBPF24
chr1,147586775,147588169,alter_trans_start/end,ENST00000481201.1,ENSG00000203836.7,NBPF24
chr1,148015653,148023597,alter_trans_start/end,ENST00000310701.10,ENSG00000122497.13,NBPF14
chr1,148015653,148023597,alter_trans_start/end,ENST00000369219.1,ENSG00000122497.13,NBPF14
chr1,148015653,148023597,alter_trans_start/end,ENST00000392972.3,ENSG00000122497.13,NBPF14
chr1,148015653,148023597,alter_trans_start/end,ENST00000426874.1,ENSG00000122497.13,NBPF14
chr1,148015653,148023597,alter_trans_start/end,ENST00000431121.1,ENSG00000122497.13,NBPF14
chr1,148015653,148023597,alter_trans_start/end,ENST00000436356.1,ENSG00000122497.13,NBPF14
chr1,148015653,148023597,alter_trans_start/end,ENST00000444640.1,ENSG00000122497.13,NBPF14
chr1,148015653,148023597,alter_trans_start/end,ENST00000448574.1,ENSG00000122497.13,NBPF14
chr1,148015653,148023597,alter_trans_start/end,ENST00000458135.1,ENSG00000122497.13,NBPF14
chr1,148255259,148257494,alter_trans_start/end,ENST00000369202.1,ENSG00000203832.6,NBPF20
chr1,148257602,148258494,alter_trans_start/end,ENST00000369202.1,ENSG00000203832.6,NBPF20
chr1,148262366,148263206,alter_trans_start/end,ENST00000369202.1,ENSG00000203832.6,NBPF20
chr1,148265481,148267018,alter_trans_start/end,ENST00000369202.1,ENSG00000203832.6,NBPF20
chr1,148267126,148268018,alter_trans_start/end,ENST00000369202.1,ENSG00000203832.6,NBPF20
chr1,148270253,148271792,alter_trans_start/end,ENST00000369202.1,ENSG00000203832.6,NBPF20
chr1,148271900,148272675,alter_trans_start/end,ENST00000369202.1,ENSG00000203832.6,NBPF20
chr1,148275842,148276556,alter_trans_start/end,ENST00000369202.1,ENSG00000203832.6,NBPF20
chr1,148276664,148277439,alter_trans_start/end,ENST00000369202.1,ENSG00000203832.6,NBPF20
chr1,148279855,148280630,alter_trans_start/end,ENST00000369202.1,ENSG00000203832.6,NBPF20
chr1,148283048,148283823,alter_trans_start/end,ENST00000369202.1,ENSG00000203832.6,NBPF20
chr1,148286241,148286978,alter_trans_start/end,ENST00000369202.1,ENSG00000203832.6,NBPF20
chr1,148290138,148290903,alter_trans_start/end,ENST00000369202.1,ENSG00000203832.6,NBPF20
chr1,148294908,148295673,alter_trans_start/end,ENST00000369202.1,ENSG00000203832.6,NBPF20
chr1,148299678,148300443,alter_trans_start/end,ENST00000369202.1,ENSG00000203832.6,NBPF20
chr1,148304438,148305203,alter_trans_start/end,ENST00000369202.1,ENSG00000203832.6,NBPF20
chr1,148313972,148314739,alter_trans_start/end,ENST00000369188.3,ENSG00000203832.6,NBPF20
chr1,148313972,148314739,alter_trans_start/end,ENST00000369189.3,ENSG00000203832.6,NBPF20
chr1,148313972,148314739,alter_trans_start/end,ENST00000369202.1,ENSG00000203832.6,NBPF20
chr1,148314847,148315622,alter_trans_start/end,ENST00000369188.3,ENSG00000203832.6,NBPF20
chr1,148314847,148315622,alter_trans_start/end,ENST00000369189.3,ENSG00000203832.6,NBPF20
chr1,148314847,148315622,alter_trans_start/end,ENST00000369202.1,ENSG00000203832.6,NBPF20
chr1,148323492,148324259,alter_trans_start/end,ENST00000369188.3,ENSG00000203832.6,NBPF20
chr1,148323492,148324259,alter_trans_start/end,ENST00000369189.3,ENSG00000203832.6,NBPF20
chr1,148323492,148324259,alter_trans_start/end,ENST00000369202.1,ENSG00000203832.6,NBPF20
chr1,148324367,148325142,alter_trans_start/end,ENST00000369188.3,ENSG00000203832.6,NBPF20
chr1,148324367,148325142,alter_trans_start/end,ENST00000369189.3,ENSG00000203832.6,NBPF20
chr1,148324367,148325142,alter_trans_start/end,ENST00000369202.1,ENSG00000203832.6,NBPF20
chr1,149831245,149832268,exon_skipping,ENST00000369157.2,ENSG00000182217.7,HIST2H4B
chr1,149831245,149832268,exon_skipping,ENST00000392932.4,ENSG00000182217.7,HIST2H4B
chr1,149831245,149832268,exon_skipping,ENST00000392933.1,ENSG00000182217.7,HIST2H4B
chr1,150704848,150737136,alter_trans_start/end,ENST00000368985.3,ENSG00000163131.6,CTSS
chr1,150704848,150737136,alter_trans_start/end,ENST00000448301.2,ENSG00000163131.6,CTSS
chr1,150704848,150737136,alter_trans_start/end,ENST00000472977.2,ENSG00000163131.6,CTSS
